time,x_force,y_force,z_force,x_torque,y_torque,z_torque,x_pos,y_pos,z_pos,x_rot,y_rot,z_rot
5.459925651550293,0.2498,0.020996,-0.001856,-0.004116,-0.003934,-0.009769,-0.7559080133201774,-0.1440577680841408,0.29693835201002977,3.1360989035860465,-0.01668795714377125,-0.0012953448506351404
5.469982385635376,0.298808,0.032528,0.062304,-0.004828,-0.003799,-0.009245,-0.7558848337015052,-0.14404685342996604,0.2969593291524864,3.136147648466561,-0.01681006082182995,-0.0012326069914385235
5.479948043823242,0.06376,0.011192,-0.185504,-0.004135,-0.005991,-0.01086,-0.7558906194341823,-0.14404609300394938,0.2969115870494681,3.1361241156346535,-0.016816101252812937,-0.0011262485780158564
5.489907741546631,0.603352,0.10094,0.079328,-0.004378,-0.003355,-0.010556,-0.7558847418014727,-0.14408764256266335,0.29691551540082917,3.136078305688236,-0.016713309533322757,-0.0012385014895124667
5.499968767166138,-0.105872,-0.00562,-0.174176,0.001019,-0.00786,-0.012044,-0.7558948593166789,-0.14405047667764367,0.29689079042211386,3.136138270539874,-0.01680950830438903,-0.00127564627696329
5.507966995239258,0.565616,0.137488,0.13616,-0.007829,-0.003471,-0.009528,-0.7559050221926514,-0.14401170864677082,0.29687981042406236,3.1361565246554237,-0.01690358148844267,-0.0013680043089493853
5.517956256866455,0.361712,0.08838,-0.029344,-0.000489,-0.00584,-0.009771,-0.7558853126450402,-0.14405786514173086,0.29684462675552414,3.1360969497878837,-0.016788172324322257,-0.0012535023006087214
5.527902126312256,0.276824,0.145668,0.07744,-0.006101,-0.003097,-0.007924,-0.7558836204840348,-0.14410177708440677,0.2967979937098799,3.136094127717642,-0.01677211988385069,-0.0012430473566502572
5.537894010543823,0.068216,-0.04108,-0.014016,-0.001323,-0.004811,-0.009738,-0.755868941166751,-0.14408163384445039,0.29680726036673816,3.1361383134820393,-0.016678365945436275,-0.0012891650728506121
5.547919750213623,0.51132,0.049844,0.10992,-0.003253,-0.002196,-0.010471,-0.7558911911676872,-0.14405063088030304,0.29678355708847226,3.136105223504597,-0.016818797287384047,-0.0012833801788729481
5.557895660400391,0.226904,0.04588,-0.002944,-0.004288,-0.004156,-0.008196,-0.7558770430544666,-0.1440722207116652,0.2967683730419307,3.136109376169742,-0.01672812918476512,-0.001319477528619795
5.567957162857056,0.312984,-0.008876,0.000864,-0.002567,-0.003068,-0.008156,-0.7558749954126481,-0.14407394186212866,0.29676980138013104,3.136124555206388,-0.01670826060940399,-0.0014025109646136525
5.577917098999023,0.175472,0.030608,-0.004608,-0.004708,-0.003735,-0.009878,-0.7559002735436342,-0.14404845040614442,0.29672158301462365,3.136103908139102,-0.016821669332309226,-0.0013643921961623143
