time,x_force,y_force,z_force,x_torque,y_torque,z_torque
0.007382869720458984,2.24077393905395,2.883841823742482,-4.486939664687106,-0.12072396536149448,0.02549806231982901,-0.2433341152531924
0.017426013946533203,1.4567733276563364,2.6588170539135145,-4.667768727946208,-0.10958158558618952,0.00884522794859493,-0.24582634856757427
0.0274050235748291,1.4975494493622126,2.6688765579870015,-4.714024784226933,-0.11217438231449894,0.013969286449115817,-0.25272008007818236
0.0374140739440918,1.8731782113752762,2.865003174123637,-4.604184162363407,-0.1156512303646247,0.015554506068126648,-0.24212583931724307
0.04735279083251953,1.5830827374020713,2.6832395884897204,-4.882429279552476,-0.11088175938513604,0.010323300756702871,-0.2416560765460309
0.05539059638977051,1.918880164356507,2.89190445767701,-4.7167082378634015,-0.11905660846875009,0.019250128901537756,-0.23900337860387372
0.0633845329284668,1.3624109181227977,2.5590184091268453,-4.6720062283653645,-0.10831707103400286,0.008514583262509657,-0.23777405895559317
0.0734102725982666,1.5144708816037284,2.8427831540357715,-4.662371241816521,-0.11405980067535673,0.01265081582888759,-0.242643255029457
0.08153963088989258,1.3110613294783444,2.437614357493464,-4.777588467799186,-0.10754991414026717,0.00802828427866371,-0.2456364261037374
0.09143877029418945,1.7118259209858175,2.6666859624538857,-4.638962270442423,-0.11259517432328447,0.013681405156352694,-0.24676827652682792
0.0993344783782959,1.5869046176872101,2.690542404100714,-4.678194021233601,-0.11074300469467784,0.011344517301470668,-0.24689116886773962
0.10948872566223145,1.7157849010486048,2.717237516946049,-4.576150930855571,-0.11305800092544108,0.017080271261026604,-0.2459280259480559
0.11942362785339355,1.7262545902704542,2.442777351710612,-4.691261980239852,-0.10746638852959176,0.017710587548275706,-0.24658424715171898
0.12737393379211426,1.6449215679118045,2.573722898138414,-4.612513009323706,-0.11007283973668229,0.015676351655875068,-0.24294848379088196
0.13535380363464355,1.8307986474576576,2.761988458214186,-4.5007105406398695,-0.11281060947147484,0.017404546181112132,-0.244986362612816
0.1455094814300537,1.6641517526820973,2.838991858304913,-4.6801849432536695,-0.11262853988776914,0.01306148830331058,-0.248525837310703
0.1554419994354248,1.7135593543038612,2.608924381295328,-4.734825766236302,-0.11005385354374868,0.0165387948271209,-0.24407899863591007
0.16336369514465332,1.9188548825172485,2.716156557033858,-4.775249811138042,-0.11070351726801184,0.019210190686520263,-0.24712392610657882
0.1733415126800537,1.529219169445402,2.406619096743427,-4.9222407186111745,-0.10681118808840599,0.010960337288250478,-0.24657965742095037
0.1834120750427246,1.4463753115697697,2.259053637088043,-4.877375759143171,-0.10389066588973968,0.008670486093920607,-0.24096445150906035
0.19150257110595703,1.5898982551432845,2.58529641332113,-4.994725282704642,-0.10863294047381125,0.011331935482473143,-0.24452270412399288
0.20136141777038574,2.033280737781384,2.6328694954672063,-4.800309607167757,-0.10973827051518498,0.02382420032368065,-0.24729190998509146
0.20938897132873535,1.1404757880319085,2.386621359509546,-4.9027544178091125,-0.1042314296954527,0.003577218913282364,-0.23942503171671317
0.21742677688598633,1.5971334615684916,2.565746888586016,-4.699060219630354,-0.1082458046177299,0.012837322952945027,-0.2472148353696055
0.22741913795471191,1.8000651020821892,2.4853417001759723,-4.782677265331314,-0.11055754634831103,0.015371398553524112,-0.24337326296517142
0.23737549781799316,1.4950621865197125,2.8259653935745117,-4.689320463277462,-0.1156807950554691,0.011513144097890709,-0.2471579520190385
0.24739623069763184,1.7266328646810238,2.4585500102968854,-4.605826664861816,-0.10860956140197776,0.016244863259118,-0.25284294142210156
0.25739002227783203,1.66667800345787,2.947279690738245,-4.491905689108446,-0.11839087708238968,0.014896659566278546,-0.24818136905878665
0.26745104789733887,1.7707356744745557,2.524552001010809,-4.5501430570094215,-0.10771789411856464,0.015247499905757878,-0.25074862570105316
0.27736663818359375,1.8074354042105472,2.9883954881829844,-4.726907893107081,-0.11835203344939153,0.013505713570804004,-0.24963641226823172
0.28748536109924316,1.5499162784022908,3.1201609457006922,-4.731666213736866,-0.1198399312436451,0.011842598174454443,-0.24637909763595564
0.2973954677581787,1.670018263237754,2.529822202336843,-4.734706339399116,-0.11076106034172355,0.014540150951296139,-0.25007384884349154
0.3053760528564453,2.0725719931330673,2.6282875248479445,-4.671190746576554,-0.11066210886334088,0.023152635541179713,-0.2488009152705425
0.3154902458190918,1.7892101314652962,2.6518554287384113,-4.6839113347581645,-0.11135826590473812,0.021244052299828734,-0.24945211130687464
0.32541513442993164,1.9316869179987821,2.9546398160093887,-4.622873601075444,-0.11776631009685219,0.019628834700877507,-0.2513808212754122
0.33543992042541504,2.071235214309433,2.7443529722466145,-4.566222858413158,-0.11321047739665396,0.023324135708139522,-0.2504647725360768
0.3434264659881592,1.4778039945268753,2.701944212636305,-4.508274092595467,-0.11266817699103704,0.012989611278648132,-0.25098653446371755
0.3533957004547119,1.681563332407202,2.7937554715216777,-4.746389575209231,-0.11324003366224758,0.016363082099908898,-0.2456916497398984
0.3634634017944336,1.6108934041631437,2.8146235149135084,-4.736222042362719,-0.11494363534845804,0.010751174526532924,-0.2499036284413667
0.3734276294708252,1.6024046240372627,2.762623544113094,-4.693931612421006,-0.11233396869259396,0.012023983327185718,-0.24716541942438083
0.3834042549133301,1.6188982413558304,2.9568404057753948,-4.782414765415266,-0.11915386351979812,0.007138968245948742,-0.24454497425884442
0.3934452533721924,1.6671463673736189,2.7288537356119966,-4.768961586996025,-0.11372999666543429,0.013696725695195143,-0.2511293452805668
0.401425838470459,1.576552516211953,2.732573182413954,-4.670956725608118,-0.113372459838999,0.016758886338625562,-0.24779927452697698
0.4113767147064209,1.8486736254271323,2.866733434374604,-4.747039457500615,-0.10690325067827208,0.01587683627501095,-0.2455278156120068
